"","X","Date","Streams","sdstreams","Week","Country"
"91",91,"2/27/2020",20371482,122.4882274,91,"SG"
"92",92,"3/5/2020",19260336,115.8072061,92,"SG"
"93",93,"3/12/2020",19000429,114.2444554,93,"SG"
"94",94,"3/19/2020",18110948,108.8962461,94,"SG"
"95",95,"3/26/2020",17408911,104.6750869,95,"SG"
"96",96,"4/2/2020",17093753,102.7801268,96,"SG"
"97",97,"4/9/2020",15316059,92.09133224,97,"SG"
"98",98,"4/16/2020",14240560,85.6246468,98,"SG"
"99",99,"4/23/2020",13750307,82.67688773,99,"SG"
"100",100,"4/30/2020",12950440,77.86750317,100,"SG"
"101",101,"5/7/2020",12424879,74.70744661,101,"SG"
"102",102,"5/14/2020",13069930,78.58596431,102,"SG"
"103",103,"5/21/2020",12730056,76.54239361,103,"SG"
"104",104,"5/28/2020",12526453,75.31818368,104,"SG"
"105",105,"6/4/2020",12975914,78.02067146,105,"SG"
"106",1,"6/7/2018",5337863,86.29045246,1,"HK"
"107",2,"6/14/2018",5375343,86.89634402,2,"HK"
"108",3,"6/21/2018",5488166,88.72021019,3,"HK"
"109",4,"6/28/2018",5581160,90.22352609,4,"HK"
"110",5,"7/5/2018",5352374,86.52503337,5,"HK"
"111",6,"7/12/2018",5334960,86.24352334,6,"HK"
"112",7,"7/19/2018",5443995,88.00615372,7,"HK"
"113",8,"7/26/2018",5510543,89.08195073,8,"HK"
"114",9,"8/2/2018",5443901,88.00463415,9,"HK"
"115",10,"8/9/2018",5431368,87.80202905,10,"HK"
"116",11,"8/16/2018",5329202,86.15044107,11,"HK"
"117",12,"8/23/2018",5579714,90.20015044,12,"HK"
"118",13,"8/30/2018",5492874,88.79631844,13,"HK"
"119",14,"9/6/2018",5582981,90.25296388,14,"HK"
"120",15,"9/13/2018",5433628,87.8385636,15,"HK"
"121",16,"9/20/2018",5056347,81.73954079,16,"HK"
"122",17,"9/27/2018",5309806,85.83689057,17,"HK"
"123",18,"10/4/2018",5300491,85.68630679,18,"HK"
"124",19,"10/11/2018",5383560,87.02917783,19,"HK"
"125",20,"10/18/2018",5304815,85.75620741,20,"HK"
"126",21,"10/25/2018",5679769,91.81761257,21,"HK"
"127",22,"11/1/2018",5813437,93.97845338,22,"HK"
"128",23,"11/8/2018",5983048,96.72033902,23,"HK"
"129",24,"11/15/2018",6119401,98.92458481,24,"HK"
"130",25,"11/22/2018",5964571,96.42164483,25,"HK"
"131",26,"11/29/2018",5854719,94.64580704,26,"HK"
"132",27,"12/6/2018",5880286,95.05911627,27,"HK"
"133",28,"12/13/2018",5821120,94.10265468,28,"HK"
"134",29,"12/20/2018",5909120,95.52523893,29,"HK"
"135",30,"12/27/2018",5956828,96.29647358,30,"HK"
"136",31,"1/3/2019",5386887,87.08296121,31,"HK"
"137",32,"1/10/2019",6104838,98.68916329,32,"HK"
"138",33,"1/17/2019",6113859,98.83499434,33,"HK"
"139",34,"1/24/2019",6206405,100.331068,34,"HK"
"140",35,"1/31/2019",6327542,102.289336,35,"HK"
"141",36,"2/7/2019",5509393,89.06336014,36,"HK"
"142",37,"2/14/2019",6339003,102.4746115,37,"HK"
"143",38,"2/21/2019",6377246,103.0928375,38,"HK"
"144",39,"2/28/2019",6183483,99.96051713,39,"HK"
"145",40,"3/7/2019",6168313,99.715283,40,"HK"
"146",41,"3/14/2019",6116190,98.87267665,41,"HK"
"147",42,"3/21/2019",6198695,100.2064302,42,"HK"
"148",43,"3/28/2019",6143204,99.30937769,43,"HK"
"149",44,"4/4/2019",6411731,103.6503127,44,"HK"
"150",45,"4/11/2019",6443760,104.1680849,45,"HK"
"151",46,"4/18/2019",6545732,105.8165367,46,"HK"
"152",47,"4/25/2019",5896799,95.32606097,47,"HK"
"153",48,"5/2/2019",6029605,97.47296692,48,"HK"
"154",49,"5/9/2019",5989748,96.82864941,49,"HK"
"155",50,"5/16/2019",5967264,96.46517914,50,"HK"
"156",51,"5/23/2019",5929359,95.85241714,51,"HK"
"157",52,"5/30/2019",5982476,96.71109222,52,"HK"
"158",53,"6/6/2019",6055767,97.89589475,53,"HK"
"159",54,"6/13/2019",5358224,86.61960289,54,"HK"
"160",55,"6/20/2019",5710170,92.30906693,55,"HK"
"161",56,"6/27/2019",6337580,102.4516076,56,"HK"
"162",57,"7/4/2019",6251780,101.064588,57,"HK"
"163",58,"7/11/2019",6416106,103.7210378,58,"HK"
"164",59,"7/18/2019",6790003,109.7653557,59,"HK"
"165",60,"7/25/2019",6328160,102.2993265,60,"HK"
"166",61,"8/1/2019",6023346,97.37178561,61,"HK"
"167",62,"8/8/2019",5940565,96.03357031,62,"HK"
"168",63,"8/15/2019",5974205,96.57738547,63,"HK"
"169",64,"8/22/2019",6267713,101.3221566,64,"HK"
"170",65,"8/29/2019",6766261,109.381549,65,"HK"
"171",66,"9/5/2019",6394497,103.3717125,66,"HK"
"172",67,"9/12/2019",6747062,109.0711831,67,"HK"
"173",68,"9/19/2019",7080627,114.4635049,68,"HK"
"174",69,"9/26/2019",7110155,114.9408466,69,"HK"
"175",70,"10/3/2019",6342740,102.5350228,70,"HK"
"176",71,"10/10/2019",6292341,101.7202862,71,"HK"
"177",72,"10/17/2019",7016891,113.4331659,72,"HK"
"178",73,"10/24/2019",7021861,113.5135096,73,"HK"
"179",74,"10/31/2019",7170507,115.9164807,74,"HK"
"180",75,"11/7/2019",7212510,116.5954899,75,"HK"
"181",76,"11/14/2019",5972302,96.54662208,76,"HK"
"182",77,"11/21/2019",6334477,102.4014454,77,"HK"
"183",78,"11/28/2019",6788948,109.7483009,78,"HK"
"184",79,"12/5/2019",6915778,111.7986004,79,"HK"
"185",80,"12/12/2019",7183575,116.1277345,80,"HK"
"186",81,"12/19/2019",7333223,118.5469036,81,"HK"
"187",82,"12/26/2019",7191723,116.2594528,82,"HK"
"188",83,"1/2/2020",6679844,107.9845551,83,"HK"
"189",84,"1/9/2020",7382449,119.3426779,84,"HK"
"190",85,"1/16/2020",7475419,120.8456058,85,"HK"
"191",86,"1/23/2020",7509443,121.3956286,86,"HK"
"192",87,"1/30/2020",5580327,90.21006004,87,"HK"
"193",88,"2/6/2020",5869277,94.88114774,88,"HK"
"194",89,"2/13/2020",6106938,98.72311132,89,"HK"
"195",90,"2/20/2020",6422076,103.8175472,90,"HK"
"196",91,"2/27/2020",7020522,113.4918637,91,"HK"
"197",92,"3/5/2020",6676816,107.9356052,92,"HK"
"198",93,"3/12/2020",6505807,105.1711199,93,"HK"
"199",94,"3/19/2020",6348360,102.6258742,94,"HK"
"200",95,"3/26/2020",6230597,100.7221493,95,"HK"
"201",96,"4/2/2020",6197766,100.1914123,96,"HK"
"202",97,"4/9/2020",6091118,98.46736947,97,"HK"
"203",98,"4/16/2020",6055997,97.89961286,98,"HK"
"204",99,"4/23/2020",6218492,100.5264632,99,"HK"
"205",100,"4/30/2020",6037156,97.59503434,100,"HK"
"206",101,"5/7/2020",6143389,99.31236835,101,"HK"
"207",102,"5/14/2020",6891350,111.403704,102,"HK"
"208",103,"5/21/2020",7854530,126.9742119,103,"HK"
"209",104,"5/28/2020",7775682,125.6995764,104,"HK"
"210",105,"6/4/2020",6692791,108.1938528,105,"HK"
